year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1846,,,,,,,,
1847,21.541,1.0,,,,,,
1848,21.424,1.1219999999999999,21.432000000000002,0.879,,,,
1849,21.341,1.088,21.445,0.948,21.421,,,
1850,21.438000000000002,1.026,21.395,0.855,21.415000000000003,0.8150000000000001,,
1851,21.48,0.88,21.448,0.836,21.499000000000002,0.847,21.351000000000003,
1852,21.291,1.422,21.462,0.9420000000000001,21.433,0.973,21.353,
1853,21.689,1.29,21.479000000000003,1.197,21.419,0.97,21.404,
1854,21.412000000000003,1.877,21.486,1.262,21.391000000000002,0.832,21.468,
1855,21.523,1.437,21.452,1.146,21.388,0.81,21.488,0.659
1856,21.518,0.895,21.346,1.028,21.406000000000002,0.732,21.552,0.5820000000000001
1857,21.12,0.876,21.319000000000003,0.649,21.41,0.6930000000000001,21.556,0.575
1858,21.157,1.056,21.324,0.591,21.485,0.5960000000000001,21.591,0.5589999999999999
1859,21.276,1.473,21.298000000000002,0.613,21.515,0.522,21.604000000000003,0.508
1860,21.552,0.716,21.459,0.613,21.561,0.5740000000000001,21.628,0.491
1861,21.383000000000003,0.752,21.648,0.7150000000000001,21.604000000000003,0.643,21.623,0.483
1862,,,21.75,0.744,21.679000000000002,0.752,21.615000000000002,0.491
1863,22.101000000000003,1.613,21.868000000000002,0.917,21.764000000000003,0.777,21.597,0.517
1864,21.786,1.395,21.973000000000003,0.9450000000000001,21.818,0.836,21.558,0.522
1865,22.139000000000003,1.399,21.999000000000002,1.0899999999999999,21.867,0.812,21.535,0.518
1866,21.911,0.738,21.935000000000002,0.9400000000000001,21.84,0.8140000000000001,21.490000000000002,0.53
1867,22.055,1.6340000000000001,21.958000000000002,0.862,21.82,0.825,21.508000000000003,0.518
1868,21.782,0.733,21.84,0.739,21.709,0.763,21.540000000000003,0.499
1869,21.900000000000002,1.0310000000000001,21.699,0.761,21.601000000000003,0.65,21.591,0.512
1870,21.55,0.809,21.532,0.651,21.51,0.507,21.602,0.495
1871,21.209,0.911,21.351000000000003,0.647,21.376,0.484,21.575000000000003,0.484
1872,21.217000000000002,1.081,21.171,0.66,21.336000000000002,0.508,21.580000000000002,0.48
1873,20.881,1.341,21.001,0.694,21.315,0.55,21.542,0.46599999999999997
1874,20.996000000000002,0.977,20.986,0.859,21.364,0.609,21.505000000000003,0.44
1875,20.702,1.447,21.092000000000002,0.923,21.337,0.622,21.462,0.432
1876,21.137,1.057,21.351000000000003,0.844,21.309,0.5660000000000001,21.433,0.45
1877,21.743000000000002,1.138,21.514000000000003,0.752,21.339000000000002,0.5780000000000001,21.393,0.461
1878,22.179000000000002,0.625,21.641000000000002,0.587,21.376,0.591,21.342000000000002,0.451
1879,21.810000000000002,0.861,21.689,0.485,21.409000000000002,0.5680000000000001,21.323,0.487
1880,21.339000000000002,0.666,21.627000000000002,0.531,21.414,0.522,21.314,0.518
1881,21.373,0.548,21.456,0.492,21.491,0.474,21.287000000000003,0.496
1882,21.436,0.918,21.309,0.481,21.449,0.511,21.310000000000002,0.501
1883,21.324,0.506,21.263,0.521,21.368000000000002,0.514,21.331,0.502
1884,21.073,0.785,21.274,0.597,21.283,0.529,21.349,0.513
1885,21.111,0.6779999999999999,21.167,0.535,21.290000000000003,0.534,21.363,0.484
1886,,,21.167,0.605,21.266000000000002,0.552,21.405,0.444
1887,20.899,0.656,21.302,0.601,21.28,0.554,21.412000000000003,0.436
1888,21.326,0.669,21.286,0.613,21.286,0.508,21.411,0.42800000000000005
1889,21.748,0.687,21.231,0.5589999999999999,21.288,0.533,21.373,0.406
1890,21.031000000000002,1.026,21.43,0.554,21.311,0.494,21.375,0.39
1891,21.153000000000002,1.05,21.394000000000002,0.538,21.319000000000003,0.452,21.42,0.392
1892,21.893,0.573,21.259,0.562,21.376,0.40900000000000003,21.435000000000002,0.393
1893,21.146,0.966,21.351000000000003,0.585,21.453000000000003,0.395,21.443,0.375
1894,21.074,0.591,21.447000000000003,0.41800000000000004,21.463,0.406,21.465,0.382
1895,21.487000000000002,0.451,21.436,0.41300000000000003,21.459,0.383,21.479000000000003,0.37
1896,21.635,0.777,21.561,0.45,21.575000000000003,0.392,21.487000000000002,0.361
1897,21.837,0.6779999999999999,21.598000000000003,0.485,21.59,0.445,21.507,0.356
1898,21.773,0.499,21.697000000000003,0.5609999999999999,21.601000000000003,0.387,21.53,0.34500000000000003
1899,21.26,0.935,21.736,0.514,21.643,0.391,21.539,0.343
1900,21.979000000000003,0.937,21.732,0.46599999999999997,21.647000000000002,0.389,21.548000000000002,0.333
1901,21.834,0.612,21.688000000000002,0.405,21.655,0.397,21.595000000000002,0.364
1902,21.813000000000002,0.515,21.711000000000002,0.523,21.637,0.386,21.613,0.378
1903,21.557000000000002,1.025,21.613,0.515,21.606,0.392,21.644000000000002,0.398
1904,21.374000000000002,0.511,21.575000000000003,0.5960000000000001,21.615000000000002,0.438,21.658,0.4
1905,21.486,0.546,21.498,0.558,21.637,0.453,21.685000000000002,0.383
1906,21.643,0.745,21.495,0.441,21.616,0.503,21.685000000000002,0.348
1907,21.431,0.52,21.553,0.443,21.637,0.538,21.665000000000003,0.34500000000000003
1908,21.539,0.41900000000000004,21.634,0.528,21.688000000000002,0.552,21.634,0.355
1909,21.667,0.5800000000000001,21.667,0.591,21.674,0.529,21.628,0.37
1910,21.889000000000003,1.0779999999999998,21.82,0.664,21.723000000000003,0.498,21.615000000000002,0.365
1911,21.810000000000002,0.806,21.852,0.741,21.716,0.387,21.587,0.371
1912,22.197000000000003,0.935,21.866,0.673,21.692,0.356,21.578000000000003,0.372
1913,21.697000000000003,0.758,21.847,0.404,21.661,0.376,21.566000000000003,0.35
1914,21.738,0.44,21.743000000000002,0.527,21.641000000000002,0.374,21.552,0.335
1915,21.795,1.069,21.532,0.532,21.593,0.354,21.565,0.338
1916,21.290000000000003,1.216,21.431,0.565,21.559,0.41400000000000003,21.557000000000002,0.341
1917,21.139000000000003,0.369,21.402,0.615,21.519000000000002,0.45,21.577,0.349
1918,21.195,0.625,21.273,0.5589999999999999,21.444000000000003,0.514,21.61,0.352
1919,21.591,0.633,21.365000000000002,0.436,21.431,0.527,21.624000000000002,0.357
1920,21.151,0.765,21.42,0.42800000000000005,21.406000000000002,0.506,21.622,0.374
1921,21.749000000000002,1.02,21.422,0.496,21.399,0.42200000000000004,21.62,0.41100000000000003
1922,21.414,0.617,21.431,0.462,21.462,0.42600000000000005,21.636000000000003,0.41900000000000004
1923,21.205000000000002,0.69,21.481,0.43000000000000005,21.558,0.42900000000000005,21.639000000000003,0.433
1924,21.638,0.491,21.477,0.5900000000000001,21.608,0.462,21.66,0.42700000000000005
1925,21.399,0.496,21.605,0.523,21.651,0.442,21.653000000000002,0.41700000000000004
1926,21.729000000000003,0.774,21.786,0.474,21.681,0.48,21.67,0.374
1927,22.054000000000002,0.457,21.792,0.511,21.752000000000002,0.504,21.700000000000003,0.369
1928,22.109,0.488,21.888,0.504,21.834,0.452,21.742,0.369
1929,21.67,0.692,21.937,0.492,21.889000000000003,0.399,21.791,0.368
1930,21.877000000000002,0.445,21.987000000000002,0.447,21.900000000000002,0.397,21.817,0.349
1931,21.975,0.663,21.972,0.385,21.942,0.369,21.87,0.342
1932,22.304000000000002,0.5980000000000001,21.981,0.362,21.939,0.361,21.916,0.339
1933,22.036,0.603,21.975,0.387,21.925,0.339,21.964000000000002,0.325
1934,21.711000000000002,0.39,21.961000000000002,0.461,21.974,0.366,21.997,0.321
1935,21.85,0.46499999999999997,21.865000000000002,0.388,21.983,0.40800000000000003,22.028000000000002,0.325
1936,21.905,0.495,21.917,0.371,22.060000000000002,0.437,22.063000000000002,0.333
1937,21.824,0.343,21.973000000000003,0.474,22.079,0.434,22.074,0.356
1938,22.292,0.5860000000000001,22.056,0.461,22.093,0.42500000000000004,22.07,0.365
1939,21.994,0.772,22.191000000000003,0.432,22.105,0.42400000000000004,22.072000000000003,0.364
1940,22.265,0.393,22.314,0.483,22.155,0.446,22.082,0.369
1941,22.579,0.369,22.28,0.495,22.184,0.441,22.097,0.399
1942,22.44,0.608,22.3,0.46399999999999997,22.21,0.448,22.093,0.391
1943,22.12,0.659,22.279,0.46,22.214000000000002,0.471,22.097,0.383
1944,22.095000000000002,0.503,22.207,0.472,22.17,0.403,22.117,0.374
1945,22.16,0.469,22.137,0.515,22.182000000000002,0.386,22.136000000000003,0.38
1946,22.221,0.657,22.116,0.503,22.133000000000003,0.395,22.152,0.373
1947,22.087,0.808,22.068,0.46,22.108,0.391,22.151,0.366
1948,22.014000000000003,0.485,22.035,0.42400000000000004,22.1,0.396,22.158,0.369
1949,21.858,0.5680000000000001,22.026,0.398,22.130000000000003,0.396,22.166,0.36
1950,21.991,0.441,22.063000000000002,0.39,22.116,0.39,22.192,0.357
1951,22.179000000000002,0.445,22.118000000000002,0.40900000000000003,22.12,0.384,22.184,0.358
1952,22.273,0.41600000000000004,22.192,0.4,22.093,0.386,22.17,0.368
1953,22.287000000000003,0.469,22.204,0.397,22.102,0.397,22.152,0.372
1954,22.227,0.41900000000000004,22.181,0.41500000000000004,22.163,0.375,22.174,0.368
1955,22.052,0.46399999999999997,22.115000000000002,0.399,22.202,0.368,22.171,0.356
1956,22.067,0.5680000000000001,22.159000000000002,0.37,22.235,0.389,22.181,0.35
1957,21.941000000000003,0.346,22.176000000000002,0.351,22.233,0.377,22.199,0.339
