year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1850,,,,,,,,
1851,,,,,,,,
1852,,,,,,,,
1853,,,,,,,,
1854,,,,,,,,
1855,,,,,,,,
1856,,,,,,,,
1857,,,,,,,,
1858,16.401,0.91,,,,,,
1859,16.852,1.046,16.485999999999997,0.7130000000000001,,,,
1860,16.837999999999997,0.872,16.671,0.741,,,,
1861,16.459,0.86,,,,,,
1862,,,,,,,,
1863,,,,,,,,
1864,,,,,,,,
1865,,,,,,,,
1866,,,,,,,,
1867,,,,,,,,
1868,,,,,,,,
1869,,,,,,,,
1870,,,,,,,,
1871,,,,,,,,
1872,,,,,,,,
1873,,,,,,,,
1874,,,,,,,,
1875,15.672999999999998,0.884,,,,,,
1876,16.282999999999998,0.907,16.451,0.633,,,,
1877,16.801,0.859,16.561999999999998,0.614,,,,
1878,17.340999999999998,0.679,16.669,0.6639999999999999,16.461,0.5780000000000001,,
1879,,,16.721999999999998,0.622,16.473,0.579,,
1880,,,16.686,0.618,16.474,0.6,,
1881,16.552,0.762,16.482,0.624,16.552,0.613,16.401,0.534
1882,16.616,0.834,16.358,0.6599999999999999,16.526,0.599,16.381,0.53
1883,16.32,0.794,16.386,0.661,16.439,0.569,16.378999999999998,0.53
1884,16.093,0.889,16.352999999999998,0.6659999999999999,16.333,0.571,16.391,0.518
1885,16.346,0.809,16.281,0.63,16.378999999999998,0.563,16.416999999999998,0.527
1886,16.391,0.864,16.261,0.604,16.352999999999998,0.5489999999999999,16.468,0.532
1887,16.253999999999998,0.758,16.372,0.5680000000000001,16.299,0.5429999999999999,16.461,0.5369999999999999
1888,16.221,0.72,16.362,0.5569999999999999,16.296999999999997,0.5469999999999999,16.435,0.54
1889,16.65,0.909,16.288999999999998,0.548,16.308999999999997,0.532,16.413,0.5409999999999999
1890,16.293,0.769,16.308,0.5840000000000001,16.36,0.528,16.439,0.531
1891,16.023999999999997,0.81,16.346,0.618,16.384999999999998,0.517,16.494,0.52
