year,yr1_temp,yr1_unc,yr5_temp,yr5_unc,yr10_temp,yr10_unc,yr20_temp,yr20_unc
1846,,,,,,,,
1847,23.016000000000002,1.12,,,,,,
1848,22.982000000000003,1.267,22.923000000000002,1.115,,,,
1849,22.789,1.288,22.935000000000002,1.127,22.892000000000003,,,
1850,22.91,1.1749999999999998,22.874000000000002,1.089,22.902,1.085,,
1851,22.978,1.126,22.884,1.0539999999999998,23.004,1.112,22.834000000000003,
1852,22.713,1.4929999999999999,22.934,1.159,22.944000000000003,1.241,22.830000000000002,
1853,23.033,1.393,22.966,1.377,22.944000000000003,1.236,22.876,
1854,23.037000000000003,2.167,23.012,1.46,22.913,1.0899999999999999,22.945,
1855,23.07,1.638,23.026000000000003,1.416,22.896,1.038,22.975,0.933
1856,23.205000000000002,1.376,22.959000000000003,1.362,22.892000000000003,0.94,23.038,0.849
1857,22.784000000000002,1.291,22.87,0.944,22.879,0.884,23.046000000000003,0.838
1858,22.698,1.236,22.822000000000003,0.8069999999999999,22.948,0.812,23.084000000000003,0.847
1859,22.593,1.702,22.727,0.802,22.999000000000002,0.758,23.103,0.7829999999999999
1860,22.827,1.0,22.809,0.886,23.048000000000002,0.846,23.112000000000002,0.774
1861,22.733,0.9339999999999999,23.0,1.02,23.073,0.9059999999999999,23.101000000000003,0.758
1862,23.192,1.0619999999999998,23.163,1.005,23.149,1.028,23.078000000000003,0.746
1863,23.653000000000002,1.642,23.338,1.1789999999999998,23.223000000000003,1.056,23.073,0.784
1864,23.412000000000003,1.68,23.48,1.141,23.293000000000003,1.083,23.026000000000003,0.7749999999999999
1865,23.699,1.533,23.568,1.275,23.327,1.063,22.987000000000002,0.778
1866,23.446,1.0150000000000001,23.524,1.1789999999999998,23.309,1.063,22.943,0.798
1867,23.629,1.962,23.495,1.0819999999999999,23.277,1.042,22.958000000000002,0.8089999999999999
1868,23.433,1.025,23.318,0.986,23.199,1.026,22.977,0.7869999999999999
