year,1yr_temp,1yr_unc,5yr_temp,5yr_unc,10yr_temp,10yr_unc,20yr_temp,20yr_unc
1883,,,,,,,,
1884,22.003,1.2650000000000001,,,,,,
1885,22.183,1.165,22.142,1.068,,,,
1886,22.188,1.241,22.148,1.052,,,,
1887,22.153,1.159,,,,,,
1888,,,,,22.206,0.994,,
1889,,,,,22.198999999999998,0.9550000000000001,,
1890,,,,,22.233999999999998,0.933,22.276,0.882
1891,22.351,1.436,,,22.235,0.931,22.294999999999998,0.878
1892,22.201999999999998,0.974,22.122999999999998,0.932,22.223,0.927,22.301,0.861
1893,22.081,1.028,22.238,0.896,22.259,0.928,22.314,0.8540000000000001
1894,21.958,1.6179999999999999,22.166999999999998,1.115,22.274,0.9670000000000001,22.336,0.8440000000000001
1895,22.599,1.065,22.218999999999998,1.163,22.271,0.9550000000000001,22.364,0.843
1896,21.997,1.63,22.277,1.219,22.311,1.0,22.378,0.8440000000000001
1897,22.458,0.9870000000000001,22.366,1.122,22.377,0.948,22.401999999999997,0.8500000000000001
1898,22.374,1.271,22.366,1.114,22.422,0.913,22.395,0.843
1899,22.401,1.09,22.524,0.923,22.473,0.884,22.404999999999998,0.839
1900,22.601,0.9790000000000001,22.584,0.934,22.493,0.896,22.4,0.8300000000000001
1901,22.787,1.171,22.636,1.092,22.522,0.942,22.426,0.837
1902,22.756999999999998,1.637,22.602999999999998,1.151,22.581,0.9870000000000001,22.462,0.849
1903,22.634999999999998,1.453,22.625999999999998,1.2970000000000002,22.531,0.9990000000000001,22.491,0.8520000000000001
1904,22.233,0.96,22.590999999999998,1.219,22.537,1.038,22.522,0.864
1905,22.718,1.557,22.5,1.076,22.529,1.0070000000000001,22.54,0.873
1906,22.614,1.178,22.438,0.9850000000000001,22.541,1.02,22.54,0.904
1907,22.299,0.9770000000000001,22.468999999999998,0.9850000000000001,22.547,0.966,22.546,0.9470000000000001
1908,,,22.457,0.92,22.558999999999997,0.915,22.529999999999998,0.948
